Row,Expected,Predicted,Match
0,video-games,video-games,True
1,wanted-housing,wanted-housing,True
2,video-games,video-games,True
3,shared,shared,True
4,therapeutic,wanted-housing,False
5,video-games,appliances,False
6,appliances,appliances,True
7,therapeutic,wanted-housing,False
8,therapeutic,therapeutic,True
9,artists,artists,True
10,cell-phones,cell-phones,True
11,general,shared,False
12,wanted-housing,household-services,False
13,shared,shared,True
14,wanted-housing,temporary,False
15,cell-phones,cell-phones,True
16,automotive,therapeutic,False
17,cell-phones,cell-phones,True
18,childcare,childcare,True
19,household-services,household-services,True
20,childcare,childcare,True
21,appliances,appliances,True
22,housing,shared,False
23,automotive,automotive,True
24,therapeutic,therapeutic,True
25,shared,shared,True
26,therapeutic,therapeutic,True
27,wanted-housing,wanted-housing,True
28,appliances,appliances,True
29,wanted-housing,wanted-housing,True
30,childcare,childcare,True
31,shared,shared,True
32,childcare,childcare,True
33,real-estate,automotive,False
34,childcare,childcare,True
35,temporary,shared,False
36,wanted-housing,wanted-housing,True
37,general,shared,False
38,appliances,appliances,True
39,automotive,automotive,True
40,childcare,childcare,True
41,household-services,household-services,True
42,therapeutic,therapeutic,True
43,general,general,True
44,cell-phones,cell-phones,True
45,video-games,video-games,True
46,wanted-housing,wanted-housing,True
47,childcare,shared,False
48,real-estate,real-estate,True
49,cell-phones,cell-phones,True
50,artists,general,False
51,real-estate,real-estate,True
52,photography,photography,True
53,appliances,appliances,True
54,artists,appliances,False
55,temporary,temporary,True
56,temporary,shared,False
57,therapeutic,therapeutic,True
58,temporary,temporary,True
59,appliances,appliances,True
60,cell-phones,cell-phones,True
61,real-estate,automotive,False
62,video-games,video-games,True
63,general,real-estate,False
64,general,shared,False
65,photography,photography,True
66,shared,shared,True
67,shared,shared,True
68,real-estate,real-estate,True
69,video-games,video-games,True
70,appliances,appliances,True
71,therapeutic,therapeutic,True
72,shared,shared,True
73,temporary,temporary,True
74,appliances,appliances,True
75,therapeutic,therapeutic,True
76,childcare,childcare,True
77,appliances,appliances,True
78,real-estate,real-estate,True
79,appliances,appliances,True
80,shared,wanted-housing,False
